Year;Total Movies;Average Production Budget;Combined Worldwide Box Office;No. 1 Movie
TBD;1,782;;;
2025;1;;;
2024;1;;;
2023;2;;;
2022;16;;;
2021;28;;;
2020;87;$112,500,000;;
2019;371;$36,268,750;;
2018;4,391;$57,176,887;$32,270,167,911;Avengers: Infinity War
2017;3,957;$54,517,823;$37,661,783,041;Star Wars Ep. VIII: The Last Jedi
2016;3,663;$42,323,318;$36,759,537,509;Captain America: Civil War
2015;3,126;$26,808,427;$35,988,293,278;Star Wars Ep. VII: The Force Awakens
2014;1,632;$30,252,500;$29,907,642,297;Transformers: Age of Extinction
2013;1,434;$37,942,487;$29,661,992,315;Frozen
2012;1,552;$34,302,491;$31,567,139,348;The Avengers
2011;1,496;$35,806,355;$27,446,819,063;Harry Potter and the Deathly Hallows: Part II
2010;1,277;$33,289,215;$25,385,135,233;Toy Story 3
2009;1,216;$35,730,441;$26,122,569,618;Avatar
2008;1,107;$31,733,132;$23,997,689,987;The Dark Knight
2007;1,033;$33,271,368;$23,232,082,569;Pirates of the Caribbean: At World’s End
2006;833;$29,037,767;$20,057,559,730;Pirates of the Caribbean: Dead Man’s Chest
2005;619;$33,167,847;$18,265,349,677;Harry Potter and the Goblet of Fire
2004;600;$35,209,188;$19,089,443,135;Shrek 2
2003;538;$31,972,256;$17,690,828,900;The Lord of the Rings: The Return of the King
2002;500;$31,214,465;$17,013,864,424;The Lord of the Rings: The Two Towers
2001;496;$32,534,641;$15,048,218,235;Harry Potter and the Sorcerer’s Stone
2000;534;$31,167,926;$13,320,358,492;Mission: Impossible 2
1999;483;$30,010,033;$13,515,023,037;Star Wars Ep. I: The Phantom Menace
1998;424;$30,016,993;$11,619,975,020;Armageddon
1997;361;$40,298,903;$12,762,961,369;Titanic
1996;323;$31,575,708;$10,138,131,401;Independence Day
1995;287;$35,020,946;$9,865,099,385;Die Hard: With a Vengeance
1994;260;$29,368,895;$8,766,993,276;The Lion King
1993;226;$20,762,646;$7,919,753,155;Jurassic Park
1992;210;$26,031,429;$6,921,398,931;Aladdin
1991;222;$22,051,487;$6,349,380,323;Beauty and the Beast
